"","alignment_rate"
"i",93.54
"i.1",94.96
"i.2",95.53
"i.3",93.98
"i.4",94.03
"i.5",95.19
"i.6",94.75
"i.7",95.82
"i.8",95.64
"i.9",95.31
"i.10",96.03
"i.11",94.01
"i.12",94.76
"i.13",95.59
"i.14",95.9
"i.15",94.65
"i.16",96.62
"i.17",96.07
"i.18",95.56
"i.19",95.67
"i.20",95.04
"i.21",96.57
"i.22",95.83
"i.23",95.84
"i.24",95.12
"i.25",96.39
"i.26",93
"i.27",95.38
"i.28",91.72
"i.29",92.46
"i.30",95.94
"i.31",93.62
"i.32",93.77
"i.33",94.74
"i.34",96.17
"i.35",96.36
"i.36",90.73
"i.37",94.25
"i.38",95.35
"i.39",95.06
"i.40",96.27
"i.41",96.55
"i.42",96.05
"i.43",96.47
"i.44",95.67
"i.45",96.56
"i.46",96.55
"i.47",96.03
"i.48",96.75
"i.49",96.49
"i.50",96.12
"i.51",96.26
"i.52",96.49
"i.53",96.43
"i.54",96.06
"i.55",94.74
"i.56",94.81
"i.57",95.26
"i.58",94.11
"i.59",96.5
"i.60",94.81
"i.61",95.81
"i.62",95.07
"i.63",95.27
