"","sequencing_depth","htg__lib_size_quant","htseq_lib_size_quant","htg__lib_size_mapped","htseq_lib_size_mapped"
"sample_25","7671743",7394789,6498153,7394789,6548775
"sample_26","7047731",6763613,5939551,6763613,5984181
"sample_28","5288631",5047621,4495644,5047621,4523737
"sample_39","6670958",6275172,5564593,6275172,5602785
"sample_1","5705999",5360821,4717539,5360821,4752464
"sample_21","6224190",5966462,5237805,5966462,5274823
"sample_35","6224348",5738849,5162775,5738849,5197990
"sample_31","5606014",5353320,4782674,5353320,4817059
"sample_55","7457182",7188412,6417443,7188412,6463577
"sample_43","4381150",4147128,3727537,4147128,3752808
"sample_38","6936914",6530642,5791425,6530642,5829913
"sample_64","5915189",5619506,5101954,5619506,5130206
"sample_22","6873783",6627049,5903484,6627049,5941731
"sample_62","6394289",6036637,5471270,6036637,5501108
"sample_44","9331197",8929097,7939375,8929097,7986108
"sample_45","6411317",6114711,5576615,6114711,5605876
"sample_30","7244590",6968127,6324644,6968127,6360319
"sample_42","5311636",4839517,4389177,4839517,4414213
"sample_60","6033950",5739501,5115466,5739501,5146442
"sample_61","6674589",6374198,5693360,6374198,5731388
"sample_46","8029673",7764131,6932157,7764131,6978135
"sample_37","7789247",7509713,6689666,7509713,6735199
"sample_12","5551014",5243491,4682315,5243491,4716572
"sample_47","6482664",6280572,5569986,6280572,5610097
"sample_3","5704545",5482540,4865404,5482540,4900458
"sample_4","7162317",6818665,6111420,6818665,6151083
"sample_5","6994721",6706352,5988791,6706352,6026781
"sample_6","7568976",7197888,6400717,7197888,6442031
"sample_7","7906628",7600987,6808729,7600987,6849672
"sample_13","4920037",4644074,4143082,4644074,4168193
"sample_14","7756528",7430828,6646014,7430828,6687550
"sample_8","8021140",7648623,6814316,7648623,6858199
"sample_15","5723810",5437342,4834510,5437342,4867507
"sample_9","8225018",7874784,6988068,7874784,7035495
"sample_2","6501509",6144676,5450128,6144676,5486736
"sample_10","6289053",5997439,5316507,5997439,5349953
"sample_11","7356685",7058685,6235812,7058685,6280668
"sample_16","6875996",6618840,5864736,6618840,5905720
"sample_17","6141099",5898099,5266362,5898099,5299129
"sample_18","8937103",8554861,7668960,8554861,7717791
"sample_19","6675854",6433463,5747717,6433463,5783922
"sample_20","6360972",6054816,5397882,6054816,5432462
"sample_32","7126831",6868494,6132092,6868494,6178766
"sample_63","7879923",7603352,6801786,7603352,6851839
"sample_33","4122548",3852126,3427083,3852126,3455138
"sample_23","6065642",5740710,5106923,5740710,5146683
"sample_24","7573700",7313351,6511641,7313351,6564265
"sample_27","3303997",3174076,2835580,3174076,2856597
"sample_56","7070355",6802395,6088815,6802395,6133045
"sample_48","9416426",9051982,8056983,9051982,8117677
"sample_49","9160346",8829444,7873085,8829444,7934686
"sample_34","6471644",6181594,5514695,6181594,5556852
"sample_50","8099844",7817001,6959301,7817001,7015651
"sample_51","7420104",7167224,6355592,7167224,6405183
"sample_29","8526378",8235745,7332155,8235745,7387139
"sample_36","6795642",6295279,5620916,6295279,5665648
"sample_40","8347191",8028256,7102966,8028256,7164055
"sample_52","8025566",7725276,6915127,7725276,6966551
"sample_41","8342313",8047057,7137111,8047057,7195427
"sample_57","8694949",8385616,7470723,8385616,7533592
"sample_53","6526513",6308203,5623446,6308203,5665599
"sample_58","8235544",7939411,7084720,7939411,7141859
"sample_54","7697557",7428757,6651229,7428757,6696747
"sample_59","8501919",8166884,7328735,8166884,7387166
