"","top10pathways_HTG.ID","top10pathways_HTG.Description","top10pathways_HTSeq.ID","top10pathways_HTSeq.Description"
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","GO:0019221","cytokine-mediated signaling pathway"
"GO:0002443","GO:0002443","leukocyte mediated immunity","GO:0007159","leukocyte cell-cell adhesion"
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","GO:1903037","regulation of leukocyte cell-cell adhesion"
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","GO:0050863","regulation of T cell activation"
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"
"GO:0050863","GO:0050863","regulation of T cell activation","GO:0070663","regulation of leukocyte proliferation"
"GO:0050900","GO:0050900","leukocyte migration","GO:0070661","leukocyte proliferation"
"GO:0002697","GO:0002697","regulation of immune effector process","GO:0002443","leukocyte mediated immunity"
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","GO:0050900","leukocyte migration"
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","GO:0032944","regulation of mononuclear cell proliferation"
